rt	x	y	v	z	s
2.926	291.64005	100.0	1850143	2	M+2H
2.929	292.14210	28.3	530401	2	M+2H+1
2.926	292.64314	6.8	123193	2	M+2H+2
2.926	293.14467	1.5	23784	2	M+2H+3
2.940	582.27140	20.5	298531	1	M+H
2.946	583.27407	6.1	82947	1	M+H+1
2.947	584.27632	1.8	21942	1	M+H+2
2.975	585.27654	0.4	3468	1	M+H+3
2.926	291.64005	111024.4	1850143	2	M+2H
2.929	292.14210	31374.6	530401	2	M+2H+1
2.926	292.64314	7594.8	123193	2	M+2H+2
2.926	293.14467	1664.6	23784	2	M+2H+3
2.940	582.27140	22772.5	298531	1	M+H
2.946	583.27407	6786.7	82947	1	M+H+1
2.947	584.27632	1987.2	21942	1	M+H+2
2.975	585.27654	430.1	3468	1	M+H+3
2.927	300.64619	100.0	6889610	2	M+2H
2.927	301.14726	27.6	1863423	2	M+2H+1
2.928	301.64807	6.8	439798	2	M+2H+2
2.929	302.14864	1.2	74061	2	M+2H+3
2.999	600.28301	66.6	6803890	1	M+H
2.997	601.28557	17.2	1743993	1	M+H+1
3.003	602.28743	3.9	402741	1	M+H+2
3.003	603.28951	0.7	62256	1	M+H+3
2.921	604.28430	0.1	4993	1	M+H+4
2.927	300.64619	411960.7	6889610	2	M+2H
2.927	301.14726	113629.6	1863423	2	M+2H+1
2.928	301.64807	27870.0	439798	2	M+2H+2
2.929	302.14864	4851.4	74061	2	M+2H+3
2.999	600.28301	274485.2	6803890	1	M+H
2.997	601.28557	71040.7	1743993	1	M+H+1
3.003	602.28743	16157.5	402741	1	M+H+2
3.003	603.28951	2750.2	62256	1	M+H+3
2.921	604.28430	552.7	4993	1	M+H+4
3.351	226.95165	100.0	1373989	1	M+H
3.351	227.95482	3.8	50933	1	M+H+1
3.353	228.95602	1.6	17852	1	M+H+2
3.351	226.95165	107161.4	1373989	1	M+H
3.351	227.95482	4117.0	50933	1	M+H+1
3.353	228.95602	1681.8	17852	1	M+H+2
3.462	283.07081	100.0	673377	1	M+H
3.462	284.07335	10.3	67066	1	M+H+1
3.462	285.06813	5.5	38008	1	M+H+2
3.462	286.06953	0.6	3400	1	M+H+3
3.462	283.07081	159347.4	673377	1	M+H
3.462	284.07335	16419.5	67066	1	M+H+1
3.462	285.06813	8833.5	38008	1	M+H+2
3.462	286.06953	941.8	3400	1	M+H+3
3.590	261.08853	100.0	3101604	1	M+H
3.592	262.09091	10.2	298547	1	M+H+1
3.591	263.08573	5.5	162901	1	M+H+2
3.594	264.09012	0.5	16947	1	M+H+3
3.595	283.07020	19.1	406553	1	M+Na
3.596	284.07271	2.0	41786	1	M+Na+1
3.594	285.06727	1.2	22440	1	M+Na+2
3.590	286.07089	0.1	1886	1	M+Na+3
3.590	261.08853	348501.2	3101604	1	M+H
3.592	262.09091	35489.0	298547	1	M+H+1
3.591	263.08573	19092.8	162901	1	M+H+2
3.594	264.09012	1772.9	16947	1	M+H+3
3.595	283.07020	66677.0	406553	1	M+Na
3.596	284.07271	7003.3	41786	1	M+Na+1
3.594	285.06727	4070.8	22440	1	M+Na+2
3.590	286.07089	421.2	1886	1	M+Na+3
3.616	203.05286	100.0	1626359	1	M+H
3.615	204.05611	7.3	115482	1	M+H+1
3.616	205.05746	1.6	23098	1	M+H+2
3.551	206.05790	0.1	445	1	M+H+3
3.592	405.09914	0.5	3265	1	2M+H
3.616	203.05286	188102.5	1626359	1	M+H
3.615	204.05611	13723.9	115482	1	M+H+1
3.616	205.05746	3096.0	23098	1	M+H+2
3.551	206.05790	251.8	445	1	M+H+3
3.592	405.09914	886.7	3265	1	2M+H
3.628	499.18705	100.0	639592	1	M+H
3.628	500.18890	21.0	132405	1	M+H+1
3.627	501.18400	11.3	76117	1	M+H+2
3.630	502.18756	2.3	14053	1	M+H+3
3.624	521.16810	26.8	181423	1	M+Na
3.627	522.17043	5.8	40848	1	M+Na+1
3.621	523.16123	3.6	24192	1	M+Na+2
3.626	524.16514	0.8	4554	1	M+Na+3
3.637	997.35839	0.8	4920	1	2M+H
3.621	998.36688	0.5	1696	1	2M+H+1
3.618	999.37586	0.6	1751	1	2M+H+2
3.628	499.18705	102445.2	639592	1	M+H
3.628	500.18890	21518.4	132405	1	M+H+1
3.627	501.18400	11624.9	76117	1	M+H+2
3.630	502.18756	2344.2	14053	1	M+H+3
3.624	521.16810	27438.5	181423	1	M+Na
3.627	522.17043	5914.1	40848	1	M+Na+1
3.621	523.16123	3678.5	24192	1	M+Na+2
3.626	524.16514	835.0	4554	1	M+Na+3
3.637	997.35839	864.9	4920	1	2M+H
3.621	998.36688	493.4	1696	1	2M+H+1
3.618	999.37586	621.8	1751	1	2M+H+2
3.637	383.11667	100.0	734877	1	M+H
3.637	384.12035	13.1	100027	1	M+H+1
3.567	385.12833	2.0	8333	1	M+H+2
3.637	383.11667	92961.1	734877	1	M+H
3.637	384.12035	12151.2	100027	1	M+H+1
3.567	385.12833	1890.7	8333	1	M+H+2
3.637	441.15196	100.0	829525	1	M+H
3.637	442.15433	17.8	144216	1	M+H+1
3.636	443.14863	7.4	64353	1	M+H+2
3.634	444.15161	1.1	9125	1	M+H+3
3.637	441.15196	131971.2	829525	1	M+H
3.637	442.15433	23461.2	144216	1	M+H+1
3.636	443.14863	9737.7	64353	1	M+H+2
3.634	444.15161	1424.8	9125	1	M+H+3
3.666	239.10633	100.0	1484543	1	M+H
3.665	240.10881	10.9	149520	1	M+H+1
3.668	241.10455	5.6	82787	1	M+H+2
3.663	242.10707	0.7	8599	1	M+H+3
3.666	239.10633	200236.0	1484543	1	M+H
3.665	240.10881	21750.2	149520	1	M+H+1
3.668	241.10455	11289.8	82787	1	M+H+2
3.663	242.10707	1454.7	8599	1	M+H+3
3.806	118.08654	100.0	3668581	1	M+H
3.805	119.08949	6.5	224088	1	M+H+1
3.813	120.09036	0.7	24178	1	M+H+2
3.809	140.06771	4.5	161274	1	M+Na
3.805	141.07149	0.3	9958	1	M+Na+1
3.826	142.07516	0.1	768	1	M+Na+2
3.811	235.16317	1.8	49086	1	2M+H
3.808	236.16738	0.3	7004	1	2M+H+1
3.812	257.14645	0.9	30541	1	2M+Na
3.801	258.14834	0.1	3131	1	2M+Na+1
3.806	118.08654	452784.0	3668581	1	M+H
3.805	119.08949	29544.3	224088	1	M+H+1
3.813	120.09036	3359.1	24178	1	M+H+2
3.809	140.06771	20401.0	161274	1	M+Na
3.805	141.07149	1500.7	9958	1	M+Na+1
3.826	142.07516	299.0	768	1	M+Na+2
3.811	235.16317	7983.6	49086	1	2M+H
3.808	236.16738	1136.9	7004	1	2M+H+1
3.812	257.14645	4291.3	30541	1	2M+Na
3.801	258.14834	677.5	3131	1	2M+Na+1
3.822	280.13949	100.0	2181743	1	M+H
3.821	281.14222	12.9	275480	1	M+H+1
3.819	282.14386	2.4	49891	1	M+H+2
3.806	283.14207	0.4	5874	1	M+H+3
3.810	302.12087	11.9	250046	1	M+Na
3.813	303.12411	1.7	33897	1	M+Na+1
3.809	304.12726	0.3	5108	1	M+Na+2
3.812	318.09681	0.8	12291	1	M+K
3.838	319.09006	0.2	4045	1	M+K+1
3.810	581.25143	2.2	34570	1	2M+Na
3.811	582.25383	0.7	9830	1	2M+Na+1
3.813	583.25315	0.2	2275	1	2M+Na+2
3.822	280.13949	227857.5	2181743	1	M+H
3.821	281.14222	29486.5	275480	1	M+H+1
3.819	282.14386	5397.3	49891	1	M+H+2
3.806	283.14207	852.5	5874	1	M+H+3
3.810	302.12087	27162.3	250046	1	M+Na
3.813	303.12411	3984.7	33897	1	M+Na+1
3.809	304.12726	725.5	5108	1	M+Na+2
3.812	318.09681	1745.1	12291	1	M+K
3.838	319.09006	412.9	4045	1	M+K+1
3.810	581.25143	4906.0	34570	1	2M+Na
3.811	582.25383	1520.0	9830	1	2M+Na+1
3.813	583.25315	541.5	2275	1	2M+Na+2
4.166	133.03199	8.9	168259	1	M+H
4.155	134.03537	0.6	10627	1	M+H+1
4.181	135.02798	0.5	9845	1	M+H+2
4.164	150.05834	100.0	1885838	1	M+NH4
4.164	151.06101	6.7	124196	1	M+NH4+1
4.165	152.05511	5.5	93960	1	M+NH4+2
4.167	153.05867	0.4	6346	1	M+NH4+3
4.166	133.03199	20076.2	168259	1	M+H
4.155	134.03537	1322.9	10627	1	M+H+1
4.181	135.02798	1044.1	9845	1	M+H+2
4.164	150.05834	226746.8	1885838	1	M+NH4
4.164	151.06101	15297.2	124196	1	M+NH4+1
4.165	152.05511	12404.6	93960	1	M+NH4+2
4.167	153.05867	879.7	6346	1	M+NH4+3
4.555	86.09722	100.0	2416967	1	M+H
4.556	87.10018	5.7	142004	1	M+H+1
4.555	86.09722	373090.0	2416967	1	M+H
4.556	87.10018	21178.6	142004	1	M+H+1
4.555	132.10234	100.0	16779494	1	M+H
4.558	133.10538	9.1	1392167	1	M+H+1
4.555	134.10699	0.7	113507	1	M+H+2
4.542	263.19670	0.9	119987	1	2M+H
4.542	264.19849	0.1	18745	1	2M+H+1
4.541	265.20429	0.0	2151	1	2M+H+2
4.555	132.10234	2539517.8	16779494	1	M+H
4.558	133.10538	232359.0	1392167	1	M+H+1
4.555	134.10699	17487.4	113507	1	M+H+2
4.542	263.19670	21908.8	119987	1	2M+H
4.542	264.19849	3266.9	18745	1	2M+H+1
4.541	265.20429	571.6	2151	1	2M+H+2
4.587	344.13472	100.0	2776939	1	M+H
4.586	345.13765	17.0	465780	1	M+H+1
4.581	346.13951	3.8	85260	1	M+H+2
4.578	347.14316	0.4	7653	1	M+H+3
4.566	366.11620	6.4	154244	1	M+Na
4.571	367.11863	1.1	25172	1	M+Na+1
4.562	368.12293	0.4	5759	1	M+Na+2
4.568	382.08960	1.4	34742	1	M+K
4.568	383.09605	0.3	7182	1	M+K+1
4.578	384.10001	0.3	4438	1	M+K+2
4.560	709.24137	2.6	40547	1	2M+Na
4.559	710.24311	0.8	15364	1	2M+Na+1
4.596	711.23686	0.5	6387	1	2M+Na+2
4.587	344.13472	217654.8	2776939	1	M+H
4.586	345.13765	36899.2	465780	1	M+H+1
4.581	346.13951	8225.5	85260	1	M+H+2
4.578	347.14316	904.3	7653	1	M+H+3
4.566	366.11620	13821.7	154244	1	M+Na
4.571	367.11863	2433.8	25172	1	M+Na+1
4.562	368.12293	891.0	5759	1	M+Na+2
4.568	382.08960	3073.3	34742	1	M+K
4.568	383.09605	706.1	7182	1	M+K+1
4.578	384.10001	617.2	4438	1	M+K+2
4.560	709.24137	5736.1	40547	1	2M+Na
4.559	710.24311	1843.8	15364	1	2M+Na+1
4.596	711.23686	1009.7	6387	1	2M+Na+2
4.608	165.05466	8.8	418077	1	M+H
4.608	166.05804	0.8	41238	1	M+H+1
4.609	167.06122	0.2	4733	1	M+H+2
4.611	182.08171	100.0	5033689	1	M+NH4
4.611	183.08446	10.9	528768	1	M+NH4+1
4.613	184.08618	1.3	58186	1	M+NH4+2
4.608	165.05466	64722.9	418077	1	M+H
4.608	166.05804	6083.7	41238	1	M+H+1
4.609	167.06122	1235.8	4733	1	M+H+2
4.611	182.08171	735242.8	5033689	1	M+NH4
4.611	183.08446	79912.3	528768	1	M+NH4+1
4.613	184.08618	9548.2	58186	1	M+NH4+2
4.702	294.15604	100.0	17504102	1	M+H
4.696	295.15832	14.6	2450211	1	M+H+1
4.693	296.16000	2.7	415502	1	M+H+2
4.672	297.15984	0.4	27206	1	M+H+3
4.734	316.13672	5.0	506578	1	M+Na
4.700	317.13966	0.8	84839	1	M+Na+1
4.735	318.14130	0.2	6852	1	M+Na+2
4.690	332.10994	0.7	60047	1	M+K
4.702	294.15604	683706.8	17504102	1	M+H
4.696	295.15832	99643.2	2450211	1	M+H+1
4.693	296.16000	18199.1	415502	1	M+H+2
4.672	297.15984	2418.2	27206	1	M+H+3
4.734	316.13672	33949.0	506578	1	M+Na
4.700	317.13966	5259.6	84839	1	M+Na+1
4.735	318.14130	1033.5	6852	1	M+Na+2
4.690	332.10994	4612.7	60047	1	M+K
4.707	276.14444	100.0	2615312	1	M+H
4.707	277.14741	14.8	367820	1	M+H+1
4.707	276.14444	108672.1	2615312	1	M+H
4.707	277.14741	16098.7	367820	1	M+H+1
4.727	86.09718	100.0	4505881	1	M+H
4.726	87.10008	5.8	260699	1	M+H+1
4.727	86.09718	420071.4	4505881	1	M+H
4.726	87.10008	24278.6	260699	1	M+H+1
4.729	261.14512	100.0	3638792	1	M+H
4.729	262.14770	12.8	468111	1	M+H+1
4.819	263.16043	1.2	12935	1	M+H+2
4.730	283.12363	1.1	34337	1	M+Na
4.707	284.12068	0.3	8647	1	M+Na+1
4.729	261.14512	354685.9	3638792	1	M+H
4.729	262.14770	45488.5	468111	1	M+H+1
4.819	263.16043	4110.5	12935	1	M+H+2
4.730	283.12363	3805.9	34337	1	M+Na
4.707	284.12068	902.7	8647	1	M+Na+1
4.730	132.10257	100.0	38663220	1	M+H
4.729	133.10542	5.9	2953590	1	M+H+1
4.729	134.10704	0.6	273905	1	M+H+2
4.701	135.10836	0.1	21824	1	M+H+3
4.733	154.08348	0.1	43994	1	M+Na
4.753	155.08511	0.0	2956	1	M+Na+1
4.730	132.10257	3556447.3	38663220	1	M+H
4.729	133.10542	210297.6	2953590	1	M+H+1
4.729	134.10704	22702.3	273905	1	M+H+2
4.701	135.10836	4153.8	21824	1	M+H+3
4.733	154.08348	4391.3	43994	1	M+Na
4.753	155.08511	689.6	2956	1	M+Na+1
4.885	130.05020	100.0	6051762	1	M+H
4.873	131.05305	6.1	417413	1	M+H+1
4.927	132.05354	0.8	18533	1	M+H+2
4.912	133.05294	0.1	2234	1	M+H+3
4.870	152.03167	14.1	1059123	1	M+Na
4.871	153.03455	1.0	62886	1	M+Na+1
4.872	154.03566	0.2	6755	1	M+Na+2
4.867	168.00489	1.2	85252	1	M+K
4.898	169.01227	0.1	4992	1	M+K+1
4.848	170.00524	0.1	1773	1	M+K+2
4.876	259.09265	23.6	1136941	1	2M+H
4.878	260.09533	2.9	134457	1	2M+H+1
4.863	281.07438	16.0	1011127	1	2M+Na
4.859	282.07745	2.0	122110	1	2M+Na+1
4.889	283.09116	0.4	15554	1	2M+Na+2
4.885	130.05020	471592.3	6051762	1	M+H
4.873	131.05305	28690.6	417413	1	M+H+1
4.927	132.05354	3793.1	18533	1	M+H+2
4.912	133.05294	598.1	2234	1	M+H+3
4.870	152.03167	66588.5	1059123	1	M+Na
4.871	153.03455	4774.6	62886	1	M+Na+1
4.872	154.03566	769.1	6755	1	M+Na+2
4.867	168.00489	5476.1	85252	1	M+K
4.898	169.01227	520.8	4992	1	M+K+1
4.848	170.00524	551.6	1773	1	M+K+2
4.876	259.09265	111467.7	1136941	1	2M+H
4.878	260.09533	13677.5	134457	1	2M+H+1
4.863	281.07438	75439.1	1011127	1	2M+Na
4.859	282.07745	9313.2	122110	1	2M+Na+1
4.889	283.09116	2024.4	15554	1	2M+Na+2
6.891	310.12873	100.0	1665166	1	M+H
6.891	311.13201	17.1	299746	1	M+H+1
6.885	312.13441	2.8	26759	1	M+H+2
6.884	313.14099	0.5	1609	1	M+H+3
6.891	310.12873	95311.2	1665166	1	M+H
6.891	311.13201	16274.3	299746	1	M+H+1
6.885	312.13441	2675.2	26759	1	M+H+2
6.884	313.14099	441.1	1609	1	M+H+3
7.002	120.08127	100.0	6810328	1	M+H
7.001	121.08489	9.4	608874	1	M+H+1
6.999	122.08746	0.5	27133	1	M+H+2
7.002	120.08127	567928.5	6810328	1	M+H
7.001	121.08489	53640.1	608874	1	M+H+1
6.999	122.08746	2606.2	27133	1	M+H+2
7.003	166.08670	100.0	38068408	1	M+H
7.001	167.08989	10.9	4327083	1	M+H+1
7.001	168.09148	0.9	370593	1	M+H+2
6.994	169.09407	0.1	22916	1	M+H+3
7.017	188.06868	0.3	71523	1	M+Na
7.001	331.16568	3.8	984033	1	2M+H
6.999	332.16870	0.8	203687	1	2M+H+1
6.999	333.17055	0.1	30419	1	2M+H+2
7.003	166.08670	3125130.8	38068408	1	M+H
7.001	167.08989	340354.3	4327083	1	M+H+1
7.001	168.09148	28970.1	370593	1	M+H+2
6.994	169.09407	1888.6	22916	1	M+H+3
7.017	188.06868	7971.5	71523	1	M+Na
7.001	331.16568	117565.3	984033	1	2M+H
6.999	332.16870	24792.5	203687	1	2M+H+1
6.999	333.17055	3759.6	30419	1	2M+H+2
8.918	220.11823	100.0	3771904	1	M+H
8.917	221.12100	10.1	387905	1	M+H+1
8.918	222.12233	1.5	56221	1	M+H+2
8.905	223.12501	0.2	5709	1	M+H+3
8.915	242.09964	7.0	288069	1	M+Na
8.914	243.10373	0.8	29130	1	M+Na+1
8.919	244.10265	0.2	6179	1	M+Na+2
8.919	258.07205	2.2	79092	1	M+K
8.925	444.23314	0.3	9499	1	2M+Li
8.915	461.20885	17.2	544102	1	2M+Na
8.915	462.20975	3.7	119259	1	2M+Na+1
8.916	463.20201	1.5	45138	1	2M+Na+2
8.914	464.20214	0.3	7956	1	2M+Na+3
8.918	220.11823	385797.3	3771904	1	M+H
8.917	221.12100	39104.4	387905	1	M+H+1
8.918	222.12233	5638.2	56221	1	M+H+2
8.905	223.12501	856.1	5709	1	M+H+3
8.915	242.09964	26829.2	288069	1	M+Na
8.914	243.10373	2966.4	29130	1	M+Na+1
8.919	244.10265	774.0	6179	1	M+Na+2
8.919	258.07205	8388.0	79092	1	M+K
8.925	444.23314	999.0	9499	1	2M+Li
8.915	461.20885	66333.0	544102	1	2M+Na
8.915	462.20975	14451.8	119259	1	2M+Na+1
8.916	463.20201	5848.6	45138	1	2M+Na+2
8.914	464.20214	1092.9	7956	1	2M+Na+3
10.111	298.09671	100.0	819063	1	M+H
10.112	299.09718	14.6	119411	1	M+H+1
10.111	300.09515	6.8	50737	1	M+H+2
10.111	298.09671	110796.0	819063	1	M+H
10.112	299.09718	16230.8	119411	1	M+H+1
10.111	300.09515	7530.5	50737	1	M+H+2
10.251	270.84137	100.0	1680746	1	M+H
10.253	271.84437	2.4	44070	1	M+H+1
10.251	270.84137	193388.0	1680746	1	M+H
10.253	271.84437	4595.3	44070	1	M+H+1
10.251	271.17543	100.0	790205	1	M+H
10.248	272.17367	1.4	7238	1	M+H+1
10.251	271.17543	89796.1	790205	1	M+H
10.248	272.17367	1221.6	7238	1	M+H+1
10.251	405.75779	100.0	756127	2	M+2H
10.250	406.25924	46.3	351152	2	M+2H+1
10.251	406.76041	13.1	97633	2	M+2H+2
10.250	407.26218	2.8	18725	2	M+2H+3
10.262	407.76225	0.7	3161	2	M+2H+4
10.249	416.74614	1.9	11249	2	M+H+Na
10.259	417.24399	1.2	7264	2	M+H+Na+1
10.255	417.74341	0.6	3427	2	M+H+Na+2
10.272	810.50449	2.9	21070	1	M+H
10.265	811.51141	1.5	9761	1	M+H+1
10.269	812.50747	0.5	1557	1	M+H+2
10.251	405.75779	88945.1	756127	2	M+2H
10.250	406.25924	41186.9	351152	2	M+2H+1
10.251	406.76041	11622.3	97633	2	M+2H+2
10.250	407.26218	2455.3	18725	2	M+2H+3
10.262	407.76225	616.0	3161	2	M+2H+4
10.249	416.74614	1693.1	11249	2	M+H+Na
10.259	417.24399	1100.6	7264	2	M+H+Na+1
10.255	417.74341	563.1	3427	2	M+H+Na+2
10.272	810.50449	2590.1	21070	1	M+H
10.265	811.51141	1309.6	9761	1	M+H+1
